               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,             0.03731,            0.011588,                   0,             0.85141,             0.93422,             0.92036,             0.55515,            0.030313,           0.0077998,                   0,           0.0024295,           0.0024295,             0.07293
                  74,            0.041729,            0.010547,                   0,              0.7368,             0.94565,             0.88872,             0.48671,            0.029441,            0.007898,                   0,            0.002449,            0.002449,            0.072549
                  75,            0.036948,            0.011513,                   0,             0.76064,             0.90217,             0.86313,             0.55044,            0.030003,           0.0074202,                   0,           0.0024679,           0.0024679,            0.072168
                  76,            0.036579,             0.01173,                   0,             0.76575,             0.92385,             0.90706,             0.41257,            0.030715,           0.0071989,                   0,           0.0024864,           0.0024864,            0.071786
                  77,            0.037756,            0.012318,                   0,             0.89108,             0.97819,             0.96311,             0.65826,            0.026103,           0.0071758,                   0,           0.0025044,           0.0025044,            0.071404
                  78,             0.04313,             0.01129,                   0,             0.85991,             0.95652,             0.94949,             0.50205,            0.031161,           0.0072541,                   0,           0.0025219,           0.0025219,            0.071022
                  79,            0.036765,            0.011273,                   0,             0.88268,             0.98913,             0.97079,             0.62929,            0.027498,           0.0073389,                   0,           0.0025388,           0.0025388,            0.070639
                  80,            0.038147,            0.010678,                   0,             0.82668,             0.93478,             0.93049,              0.3531,            0.042989,           0.0070467,                   0,           0.0025553,           0.0025553,            0.070255
                  81,            0.049594,           0.0097168,                   0,             0.47071,             0.73913,             0.55555,             0.23352,            0.048074,            0.007094,                   0,           0.0025713,           0.0025713,            0.069871
                  82,            0.046362,            0.011153,                   0,             0.73154,             0.97826,             0.87476,             0.44382,            0.036206,           0.0075665,                   0,           0.0025868,           0.0025868,            0.069487
                  83,            0.046809,             0.01017,                   0,              0.6022,             0.92149,             0.71859,             0.33724,            0.042333,           0.0074744,                   0,           0.0026017,           0.0026017,            0.069102
                  84,            0.047641,            0.011583,                   0,             0.69315,             0.83484,             0.83919,             0.40569,            0.039726,           0.0072837,                   0,           0.0026162,           0.0026162,            0.068716
                  85,            0.048459,            0.011094,                   0,             0.73732,             0.85429,             0.87312,             0.44387,            0.036633,           0.0070778,                   0,           0.0026301,           0.0026301,             0.06833
                  86,            0.039067,            0.011774,                   0,             0.48423,              0.8587,             0.62279,             0.26454,            0.037894,           0.0067598,                   0,           0.0026435,           0.0026435,            0.067944
                  87,            0.041094,            0.010656,                   0,             0.79218,             0.91154,             0.92111,             0.50642,            0.030952,           0.0068313,                   0,           0.0026564,           0.0026564,            0.067556
                  88,            0.042762,            0.010761,                   0,             0.63678,              0.8587,             0.70703,             0.29269,            0.041119,           0.0065766,                   0,           0.0026688,           0.0026688,            0.067169
                  89,            0.046585,            0.010934,                   0,             0.80589,             0.72826,             0.86367,             0.44445,            0.040899,            0.006366,                   0,           0.0026807,           0.0026807,            0.066781
                  90,            0.049656,            0.010751,                   0,             0.82531,             0.77032,             0.86701,             0.45407,            0.034293,           0.0068375,                   0,            0.002692,            0.002692,            0.066392
                  91,            0.037485,            0.010597,                   0,             0.91689,             0.97826,             0.97442,             0.65078,            0.026555,           0.0068447,                   0,           0.0027028,           0.0027028,            0.066003
                  92,            0.041006,            0.010746,                   0,             0.63252,             0.69226,             0.69406,              0.3763,            0.042664,           0.0063266,                   0,           0.0027132,           0.0027132,            0.065613
                  93,             0.04754,            0.010756,                   0,             0.53442,                0.75,             0.60622,             0.28661,            0.040884,           0.0064233,                   0,           0.0027229,           0.0027229,            0.065223
                  94,            0.046423,            0.011211,                   0,             0.79564,             0.80435,             0.85515,             0.46711,            0.040024,           0.0063047,                   0,           0.0027322,           0.0027322,            0.064832
                  95,            0.045277,           0.0089622,                   0,              0.6497,             0.79348,             0.74391,              0.3883,            0.039851,           0.0064402,                   0,            0.002741,            0.002741,            0.064441
                  96,            0.044794,             0.00956,                   0,             0.86666,             0.98905,             0.96098,             0.49512,            0.035356,           0.0068362,                   0,           0.0027492,           0.0027492,            0.064049
                  97,            0.039443,            0.011606,                   0,             0.74977,             0.94449,             0.89181,             0.59315,            0.031747,           0.0067531,                   0,           0.0027569,           0.0027569,            0.063657
                  98,            0.037498,           0.0095446,                   0,             0.91427,             0.94565,             0.96876,             0.59634,            0.034127,           0.0065751,                   0,           0.0027641,           0.0027641,            0.063264
                  99,            0.037391,            0.010933,                   0,             0.95699,             0.96739,             0.96348,             0.53973,            0.030429,            0.006686,                   0,           0.0027708,           0.0027708,            0.062871
                 100,            0.039593,           0.0095324,                   0,             0.86534,             0.97826,             0.94342,             0.52184,            0.036953,            0.006472,                   0,           0.0027769,           0.0027769,            0.062477
                 101,            0.043023,           0.0097004,                   0,             0.55767,             0.94556,              0.6874,              0.3108,            0.036763,           0.0064263,                   0,           0.0027825,           0.0027825,            0.062083
                 102,            0.044991,           0.0097238,                   0,             0.72495,             0.71622,             0.80063,              0.3432,            0.038403,           0.0063793,                   0,           0.0027876,           0.0027876,            0.061688
                 103,            0.043421,            0.011813,                   0,              0.9331,             0.91304,             0.95571,             0.63475,            0.028849,           0.0064277,                   0,           0.0027922,           0.0027922,            0.061292
                 104,            0.039749,            0.010489,                   0,             0.79604,              0.8913,             0.91333,              0.4851,            0.034811,            0.006288,                   0,           0.0027963,           0.0027963,            0.060896
                 105,            0.036506,             0.01089,                   0,             0.63292,             0.82465,             0.74836,             0.34149,            0.030943,           0.0064019,                   0,           0.0027999,           0.0027999,              0.0605
                 106,            0.035103,           0.0098381,                   0,             0.79318,             0.88043,             0.89079,             0.56757,            0.029196,           0.0062413,                   0,           0.0028029,           0.0028029,            0.060103
                 107,            0.039662,           0.0097724,                   0,             0.85057,             0.80431,             0.89151,             0.38266,            0.037349,           0.0060489,                   0,           0.0028055,           0.0028055,            0.059705
                 108,            0.040493,           0.0099215,                   0,             0.87213,              0.8913,             0.93357,             0.55937,            0.028851,           0.0060299,                   0,           0.0028075,           0.0028075,            0.059308
                 109,             0.03441,            0.010275,                   0,             0.91742,             0.96739,             0.95945,             0.60777,            0.027735,           0.0061732,                   0,            0.002809,            0.002809,            0.058909
                 110,            0.033957,           0.0099191,                   0,             0.73818,              0.8587,             0.83577,             0.51732,            0.028894,           0.0062138,                   0,             0.00281,             0.00281,             0.05851
                 111,            0.034452,           0.0095927,                   0,              0.8976,              0.8575,             0.94242,             0.64581,            0.028579,           0.0059612,                   0,           0.0028106,           0.0028106,            0.058111
                 112,            0.033988,           0.0090471,                   0,             0.90907,             0.97805,             0.97913,             0.63799,            0.027304,            0.006029,                   0,           0.0028106,           0.0028106,            0.057711
                 113,            0.034336,           0.0090094,                   0,             0.91384,             0.92235,             0.96714,             0.66208,              0.0294,            0.005915,                   0,           0.0028101,           0.0028101,             0.05731
                 114,            0.036835,           0.0093273,                   0,             0.87745,             0.93393,             0.96509,              0.5744,             0.02941,           0.0059893,                   0,           0.0028091,           0.0028091,            0.056909
                 115,            0.035532,           0.0094934,                   0,             0.90903,             0.97826,             0.97972,              0.6434,             0.02719,            0.005992,                   0,           0.0028076,           0.0028076,            0.056508
                 116,            0.041374,           0.0084066,                   0,             0.94649,             0.96739,             0.98348,             0.47701,            0.040492,            0.005881,                   0,           0.0028057,           0.0028057,            0.056106
                 117,             0.04137,           0.0097475,                   0,             0.91636,             0.95652,             0.97106,              0.5223,            0.030832,           0.0059159,                   0,           0.0028032,           0.0028032,            0.055703
                 118,             0.03977,           0.0080451,                   0,              0.8409,             0.86957,             0.91375,               0.545,             0.03018,           0.0060363,                   0,           0.0028003,           0.0028003,              0.0553
                 119,            0.036306,            0.010065,                   0,             0.94681,             0.96733,             0.98511,             0.69513,            0.024186,           0.0059485,                   0,           0.0027969,           0.0027969,            0.054897
                 120,            0.033059,           0.0089497,                   0,             0.80791,              0.8686,             0.87186,             0.46207,            0.030246,           0.0057467,                   0,            0.002793,            0.002793,            0.054493
                 121,            0.037754,           0.0083197,                   0,             0.88771,             0.94521,              0.9644,              0.5546,            0.037644,           0.0057386,                   0,           0.0027886,           0.0027886,            0.054089
                 122,            0.040329,            0.009771,                   0,             0.89558,             0.93478,              0.9688,             0.62061,            0.027448,           0.0057835,                   0,           0.0027838,           0.0027838,            0.053684
                 123,            0.036159,           0.0090452,                   0,             0.95546,             0.93277,             0.98238,             0.60513,            0.029722,           0.0058369,                   0,           0.0027785,           0.0027785,            0.053278
                 124,            0.034865,           0.0095045,                   0,             0.82238,             0.95652,             0.91913,             0.59115,            0.026094,           0.0059083,                   0,           0.0027727,           0.0027727,            0.052873
                 125,            0.035371,           0.0095769,                   0,              0.9157,              0.9446,             0.97039,             0.51318,            0.035045,           0.0058312,                   0,           0.0027665,           0.0027665,            0.052466
                 126,            0.037747,           0.0093126,                   0,             0.90904,             0.97768,             0.97717,             0.66424,            0.029764,           0.0056438,                   0,           0.0027598,           0.0027598,             0.05206
                 127,            0.036417,           0.0082618,                   0,             0.79121,             0.98854,             0.89496,             0.59978,            0.026735,           0.0056188,                   0,           0.0027527,           0.0027527,            0.051653
                 128,            0.033287,           0.0096608,                   0,             0.61149,             0.92382,             0.80665,             0.52869,            0.027149,           0.0056098,                   0,           0.0027452,           0.0027452,            0.051245
                 129,            0.033712,             0.01014,                   0,             0.91006,             0.87984,             0.95253,             0.61034,            0.027021,           0.0054996,                   0,           0.0027372,           0.0027372,            0.050837
                 130,            0.033345,           0.0090119,                   0,              0.8328,             0.92391,             0.93962,             0.60594,             0.02995,           0.0054122,                   0,           0.0027287,           0.0027287,            0.050429
                 131,            0.037258,           0.0093057,                   0,             0.85007,             0.98913,             0.93864,             0.63927,            0.023915,           0.0054268,                   0,           0.0027199,           0.0027199,             0.05002
                 132,            0.030968,           0.0087299,                   0,             0.92846,             0.98913,             0.98222,             0.73938,            0.022221,           0.0053461,                   0,           0.0027106,           0.0027106,            0.049611
